"Facility Name","Facility Address","Latitude","Longitude","NAICS Code","NAICS Description","Pollutant","Source Type","Emissions in Tons","Year"
"SAFEWAY INC","1801 W 11TH ST","37.7410","-121.453","447110","Gasoline Stations with Convenience Stores","Volatile Organic Compounds","Miscellaneous","5.145296","2008"
"ADESA CALIFORNIA LLC/ATTN:  ENVIRO DEPT","18501 STANFORD ROAD","37.7286","-121.537","441120","Used Car Dealers","Volatile Organic Compounds","Miscellaneous","5.290528306","2008"
"Fallbrook Community Air","Unknown","33.3542","-117.251","48811","Airport Operations","Carbon Monoxide","Airport","86.6936","2008"
"Borrego Valley","Unknown","33.2590","-116.321","48811","Airport Operations","Carbon Monoxide","Airport","57.987275","2008"
"Mc Clellan-Palomar","Unknown","33.1283","-117.280","48811","Airport Operations","Nitrogen Oxides","Airport","10.251191198","2008"
"Mc Clellan-Palomar","Unknown","33.1283","-117.280","48811","Airport Operations","Volatile Organic Compounds","Airport","12.270518135","2008"
"Mc Clellan-Palomar","Unknown","33.1283","-117.280","48811","Airport Operations","PM10","Airport","12.3183737089","2008"
"Mc Clellan-Palomar","Unknown","33.1283","-117.280","48811","Airport Operations","Carbon Monoxide","Airport","573.547489936","2008"
"DIXIE CONSUMER PRODUCTS","35275 S WELTY RD","37.6308","-121.288","322215","Nonfolding Sanitary Food Container Manufacturing","Volatile Organic Compounds","Miscellaneous","5.0651194","2008"
"QUEST INDUSTRIES LLC","2518 BOEING WAY","37.9106","-121.237","323112","Commercial Flexographic Printing","Volatile Organic Compounds","Miscellaneous","6.5295731316","2008"
"LODI GAS STORAGE LLC","23265 HIGHWAY 99 N W FRONTAGE","38.1979","-121.263","486210","Pipeline Transportation of Natural Gas","Carbon Monoxide","Miscellaneous","10.594101","2008"
"MOBIL ON THE RUN SERVICE STATION","10555        SCRIPPS POWAY PY","32.9370","-117.101","447110","Gasoline Stations with Convenience Stores","Volatile Organic Compounds","Miscellaneous","5.58924","2008"
"San Luis County Regiona","Unknown","35.2367","-120.650","48811","Airport Operations","PM10","Airport","5.6188087","2008"
"San Luis County Regiona","Unknown","35.2367","-120.650","48811","Airport Operations","Volatile Organic Compounds","Airport","9.70775797","2008"
"San Luis County Regiona","Unknown","35.2367","-120.650","48811","Airport Operations","Nitrogen Oxides","Airport","17.3290962","2008"
"San Luis County Regiona","Unknown","35.2367","-120.650","48811","Airport Operations","Carbon Monoxide","Airport","291.2399452","2008"
"Paso Robles Muni","Unknown","35.6729","-120.627","48811","Airport Operations","Carbon Monoxide","Airport","91.98398626475","2008"
"MELROSE LLC","1501         MELROSE DR","33.2250","-117.264","447110","Gasoline Stations with Convenience Stores","Volatile Organic Compounds","Miscellaneous","6.41617","2008"
"LA MESA SHELL","4925         SPRING ST","32.7680","-117.022","447110","Gasoline Stations with Convenience Stores","Volatile Organic Compounds","Miscellaneous","5.11102","2008"
